/home/fonwin/f9utws.block/logs/20190828/omstws.log.TwsNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
883|20190828053224.340889|20190828053224.340906|20190828053224.340915|17|9|11|2|3
885|20190828053224.340898|20190828053224.340920|20190828053224.340929|22|9|9|14|14
887|20190828053224.340907|20190828053224.340922|20190828053224.340931|15|9|9|2|2
889|20190828053224.340917|20190828053224.340939|20190828053224.340957|22|18|10|17|26
891|20190828053224.340929|20190828053224.340950|20190828053224.340959|21|9|12|11|2
893|20190828053224.340951|20190828053224.340974|20190828053224.340983|23|9|22|24|24
895|20190828053224.340965|20190828053224.340976|20190828053224.340985|11|9|14|2|2
897|20190828053224.340974|20190828053224.340991|20190828053224.340999|17|8|9|15|14
899|20190828053224.340987|20190828053224.341021|20190828053224.341029|34|8|13|30|30
901|20190828053224.341014|20190828053224.341030|20190828053224.341038|16|8|27|9|9
903|20190828053224.341024|20190828053224.341032|20190828053224.341041|8|9|10|2|3
905|20190828053224.341031|20190828053224.341047|20190828053224.341056|16|9|7|15|15
907|20190828053224.341040|20190828053224.341064|20190828053224.341074|24|10|9|17|18
909|20190828053224.341052|20190828053224.341066|20190828053224.341076|14|10|12|2|2
911|20190828053224.341060|20190828053224.341081|20190828053224.341089|21|8|8|15|13
913|20190828053224.341069|20190828053224.341083|20190828053224.341092|14|9|9|2|3
915|20190828053224.341077|20190828053224.341100|20190828053224.341108|23|8|8|17|16
917|20190828053224.341090|20190828053224.341111|20190828053224.341119|21|8|13|11|11
919|20190828053224.341099|20190828053224.341119|20190828053224.341125|20|6|9|8|6
921|20190828053224.341110|20190828053224.341121|20190828053224.341128|11|7|11|2|3
923|20190828053224.341117|20190828053224.341126|20190828053224.341131|9|5|7|5|3
925|20190828053224.341124|20190828053224.341146|20190828053224.341154|22|8|7|20|23
927|20190828053224.341137|20190828053224.341148|20190828053224.341157|11|9|13|2|3
929|20190828053224.341145|20190828053224.341165|20190828053224.341174|20|9|8|17|17
931|20190828053224.341157|20190828053224.341181|20190828053224.341189|24|8|12|16|15
933|20190828053224.341168|20190828053224.341183|20190828053224.341192|15|9|11|2|3
935|20190828053224.341178|20190828053224.341197|20190828053224.341206|19|9|10|14|14
937|20190828053224.341192|20190828053224.341205|20190828053224.341210|13|5|14|8|4
